block_date,avg_whale_tx_size_usd,total_whale_volume_usd,unique_whale_senders,whale_exchange_deposits_usd,whale_exchange_withdrawals_usd,whale_net_exchange_flow_usd,whale_tx_count,price_usd,daily_return,next_day_price_direction,whale_volume_log,whale_volume_ma7,whale_volume_ma30,whale_volume_vs_ma7,whale_volume_vs_ma30,volume_spike,price_ma7,price_ma30,price_vs_ma7,price_vs_ma30,volatility_7d,volatility_30d,avg_tx_size_log,tx_count_ma7,tx_count_vs_ma7,volume_lag1,return_lag1,net_flow_lag1,volume_x_return,net_flow_log,deposit_withdrawal_ratio
2025-11-01,1527019.7896650394,7251816981.119272,1864,296874750.9919374,159689590.85561806,-137185160.13631934,3617,3847.298177365196,-0.0064339761093755,0,22.70451789263684,11661345669.661642,10039198417.875097,0.6218679375902323,0.7223501996142633,0,3609.096123133631,3567.5738195467793,1.0660004738318645,1.07840744774104,0.054671400844019245,0.049626579065138184,14.23882919881997,6627.857142857143,0.5457269102273952,3543638231.9229093,-0.0096884794879488,41783230.52030739,46658017.20608496,-18.73684211242379,1.8590738916807683
2025-10-31,769211.4519909078,10268972884.07862,5214,775887793.9668318,625329966.4246619,-150557827.54216993,11199,3802.295364533181,-0.011697251098649,1,23.05239284469542,11381218698.644955,10060087005.711782,0.902273575087459,1.0207638242341484,0,3679.5785802209493,3588.91214181827,1.0333507714638515,1.0594562402987115,0.05127531727153697,0.04758968484740504,13.553122480801443,7347.857142857143,1.5241178186060076,7251816981.119272,-0.0064339761093755,-137185160.13631934,120118754.35028543,-18.829857811155957,1.240765410879351
2025-10-30,847664.3157892566,10917916387.365623,2950,671174369.4536693,624830403.2652729,-46343966.18839645,10573,3897.359267616961,0.0250017144829177,1,23.113670982130987,11238372274.377974,10131572787.516268,0.9714855604362789,1.0776131817182677,0,3746.6741053989895,3614.6160689681615,1.0402183798160702,1.0782221937970613,0.050917034041076066,0.04560229211415473,13.650241162092632,7951.571428571428,1.3296742782199387,10268972884.07862,-0.011697251098649,-150557827.54216993,272966628.2652836,-17.651601683757235,1.0741704706941901
2025-10-29,1450546.7126801163,11569560580.336609,2539,932705747.139484,1000714059.3233814,68008312.1838975,5750,3982.312789317544,0.0217977137510672,1,23.171643398289596,10719502848.484938,10242187233.117832,1.0793001078377265,1.1295986215646157,0,3844.612538097023,3642.9004320719596,1.0358164183922365,1.0931709124568463,0.04417068107912662,0.04377194859790054,14.187451775956491,7577.571428571428,0.7588183172143356,10917916387.365623,0.0250017144829177,-46343966.18839645,252189969.75580832,18.035140508372503,0.932040214202726
2025-10-28,1394040.8749798476,12171370879.449047,2402,805973284.225647,929631681.238466,123658397.01281892,5880,4123.206220671679,0.035379800334137,1,23.222352381845926,9639994257.183187,10379986064.998636,1.262591092352531,1.1725806569713006,0,3919.25406926615,3677.207988400511,1.0520385123804228,1.1212871922605514,0.03462973422144693,0.04253922407800825,14.147717909291782,6841.142857142857,0.8595055128633479,11569560580.336609,0.0217977137510672,68008312.1838975,430620671.5076367,18.63303346723817,0.8669812998250434
2025-10-27,927904.3924604306,10390673386.771902,3984,1053690389.814996,951947310.8018092,-101743079.0131867,7410,4161.590896249249,0.0093094241527695,0,23.064174451100023,9444849904.434855,10380698553.116852,1.10014171658704,1.0009609019666654,0,3955.182087421367,3709.5001822570935,1.052186929518194,1.1218737543549804,0.018848541556355385,0.04100373200222106,13.740685058791602,6950.428571428572,1.0661213080385588,12171370879.449047,0.035379800334137,123658397.01281892,96731185.79035361,-18.437961370275804,1.1068788962916565
2025-10-26,1124237.750321132,8200190150.842337,2639,384907432.0329329,310694615.99027216,-74212816.04266071,5037,3952.213557935584,-0.0503118503316538,0,22.827423180196817,10110071607.13763,10244416777.974695,0.8110912038499378,0.8004545625742787,0,3966.610896241342,3724.6697682369995,0.9963703678827182,1.0610909970164384,0.02907534607958664,0.04264747655147427,13.932616698197416,7066.571428571428,0.712792625237537,10390673386.771902,0.0093094241527695,-101743079.0131867,412566739.5602812,-18.12244742964439,1.2388609618073438
2025-10-25,945733.32760617,3292097713.3970776,1234,330945101.51692927,238652352.21410945,-92292749.30281982,2311,3933.232269901015,-0.0048026979707249,0,21.914790801701365,9544397426.03446,9835456832.99954,0.3449246260866245,0.33471731606320104,0,3978.8871951750302,3736.9381506878235,0.9885257050440188,1.0525280620919728,0.028990812151036847,0.041427387161270555,13.759716970966132,6880.0,0.33590116279069765,8200190150.842337,-0.0503118503316538,-74212816.04266071,15810951.007560227,-18.340476151456738,1.3867246522393115
2025-10-24,1049816.755024664,14057046349.780252,3691,741453548.8608228,658983301.0350918,-82470247.82573104,5369,3855.842116240121,-0.0196759683513025,0,23.366389626635716,10085550778.277548,10069989583.931803,1.3937807323380482,1.3959345471628297,0,3986.5367311331647,3743.5439265518403,0.9672160013295816,1.0299978287664218,0.029833652945141752,0.040721118915364396,13.864127140426096,6047.142857142857,0.8878573115993386,3292097713.3970776,-0.0048026979707249,-92292749.30281982,276585999.09106857,-18.227948165971604,1.1251477033955852
2025-10-23,1382408.591535027,9502676658.211773,2299,647151049.5725789,761370190.9770811,114219141.40450215,4568,3801.790795238292,-0.0140180327338026,1,22.974839349469054,9883373674.112715,10040131008.893906,0.9614810662377269,0.9464693886757019,0,3972.8840922219265,3746.6095512195484,0.956934737331351,1.014728314563972,0.02852003374590705,0.03985494281373845,14.139338615328914,5189.285714285715,0.8802752924982794,14057046349.780252,-0.0196759683513025,-82470247.82573104,133208832.45355454,18.55362946289494,0.8499821195942743
